env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate
MiniGrid-LavaGapS5-v0,0,29858,0.8357646526893965,0.8227,10.082925849018688,0.08275838971130016,0.9035769308058141,1586,20216,0.9442000000000002,0.005400000000000005,6.2,0.0,1.0
MiniGrid-LavaGapS6-v0,0,25555,0.8374393465075328,0.849375,11.780669144981413,0.09548033652905498,0.901663079632166,2690,35910,0.9471875000000001,0.00418096505008115,8.45,0.0,1.0
MiniGrid-LavaGapS7-v0,0,12693,0.7322921841863667,0.8550000000000001,23.717718427479713,0.16757267785393523,0.7951626880958008,2513,63655,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0
MiniGrid-LavaGapS5-v0,1,30870,0.8746339164237124,0.9145,9.751895043731778,0.0408811143505021,0.9490767735665695,495,21417,0.9442000000000002,0.0054000000000000055,6.2,0.0,1.0
MiniGrid-LavaGapS6-v0,1,21870,0.8974056927297667,0.9412499999999999,13.765477823502515,0.019204389574759947,0.966026520347508,518,38534,0.9471875000000003,0.00418096505008115,8.45,0.0,1.0
MiniGrid-LavaGapS7-v0,1,6403,0.7281613051280172,0.926530612244898,47.0168670935499,0.06668749023895049,0.8111822583164142,1374,184619,0.9451275510204085,0.010005042200281037,11.95,0.0,1.0
MiniGrid-LavaGapS5-v0,2,27896,0.8836546458273588,0.9235,10.792013191855464,0.02043303699455119,0.9568038428448523,748,53847,0.9451,0.0056204981985585635,6.1,0.0,1.0
MiniGrid-LavaGapS6-v0,2,15029,0.8533102668174861,0.936875,20.031272872446603,0.022024086765586533,0.9251447202075986,924,92741,0.9425000000000001,0.01243734296383276,9.2,0.0,1.0
MiniGrid-LavaGapS7-v0,2,11395,0.8543907997600094,0.9426020408163265,26.419394471259324,0.02474769635805178,0.9232119350592365,916,126660,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0
MiniGrid-LavaGapS5-v0,3,36835,0.8809207547169811,0.9109,8.172933351432063,0.04973530609474684,0.9484729197773857,964,15232,0.9451,0.0056204981985585635,6.1,0.0,1.0
MiniGrid-LavaGapS6-v0,3,25275,0.8872801681503462,0.9231250000000001,11.911177052423342,0.043600395647873394,0.9527200791295747,1056,27688,0.9437499999999999,0.008838834764831828,9.0,0.0,1.0
MiniGrid-LavaGapS7-v0,3,13401,0.671380524450658,0.9494897959183675,22.464592194612344,0.24975748078501606,0.72472203566898,3817,112810,0.6653316326530613,0.4355767501171375,66.35,0.0,0.7
MiniGrid-LavaGapS5-v0,4,33966,0.8842039392333508,0.9450999999999998,8.863363363363364,0.03753753753753754,0.9524818936583642,429,20214,0.191,0.382,81.0,0.0,0.2
MiniGrid-LavaGapS6-v0,4,4470,0.49016918344519017,0.569375,67.34765100671142,0.08501118568232663,0.548993288590604,1321,110812,0.5187499999999999,0.469349616490735,69.8,0.0,0.55
MiniGrid-LavaGapS7-v0,4,6827,0.7466626360519306,0.9099999999999999,44.09403837703237,0.06152043357257946,0.8267174454372345,1321,181284,0.9481122448979592,0.00682625605744217,11.3,0.0,1.0
